,,,,,,
,,,,,,
,1,2,3,4,5,6
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale
,Aircraft Function: (1) Detect                        ,,,Sub-Function: (1.1) Sensor Data                        ,,
,Sub-Function: (1.1.1) Intialization,,,,,
,1.1.1 T1,Total loss of the intialization function,All Phases ,"Aircraft: 
- No initial calibration, sensors unusable.

Crew:
Increased Stress
Loss of Situational Awareness",Catastrophic,"- Without initialization, all sensors fail, and the pilot must take manual control, risking 
collision or failure to navigate safely."
,1.1.1 P2,Partial loss of the intialization ,All Phases ,"Aircraft: 
- Some sensors uncalibrated, along with partial data loss.

Crew:
Increased Workload",Major,"- Some sensors available or pilot may still operate with increased vigilance and engage 
emergency return if necessary.
"
,1.1.1 M3,Incorrect intialization data,All Phases ,"Aircraft:
- Inconsistent calibration data.
- Unreliable sensor readings.

Crew:
Increased Workload",Major,"- Errors detected by system self-checks.

- Pilot can intervene if anomalies arise.
"
,1,2,3,4,5,6
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale
,Aircraft Function: (1) Detect                        ,,,Sub-Function: (1.1) Sensor Data                        ,,
,Sub-Function: (1.1.2) Data Collection,,,,,
,1.1.2 T1,Total loss of data collection function,All Phases,"Aircraft: 
- Complete loss of real-time sensor data.

- Undetected obstacles or changes.

Crew:
Increased workload
Loss of Situational Awareness",Hazardeous,"- No backup data source available; critical loss leads to reliance on emergency functions 
like Return to Home.

- Manual intervention is essential
"
,1.1.2 P2,Partial degradation in data collection,All Phases,"Aircraft: 
- Gaps in data stream

- Intermittent detection of obstacles.

Crew:
Increased Workload",Major,- Degradation allows time for manual input.
,1.1.2 M3, Erroneous data collection,All Phases,"Aircraft:
- Erroneous data collection results in misleading readings

Crew:
Increased Workload",Major,"- The system may flag errors, allowing the pilot to take corrective action or initiate 
emergency functions."
,1,2,3,4,5,6
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale
,Aircraft Function: (1) Detect                        ,,,Sub-Function: (1.1) Sensor Data                        ,,
,Sub-Function: (1.1.3) Signal Processing,,,,,
,1.1.3 T1,Total loss of signal processing,All Phases,"Aircraft: 
-  Unfiltered raw data results in overwhelming noise, compromising sensor utility.

Crew:
Increased workload
Increased Stress",Hazardeous,"- The pilot may need to navigate without reliable input, risking situational awareness and 
control."
,1.1.3 P2,Partial degradation in signal processing,All Phases,"Aircraft: 
- Some filtering occurs, but significant noise remains, reducing the quality of data.

Crew:
Increased workload",Major,"- Pilot can still operate the aircraft but may need to rely on manual inputs and possibly 
invoke emergency protocols."
,1.1.3 M3,Malfunction resulting in incorrect signal processing ,All Phases,"Aircraft:
-  Inconsistent filtering results in conflicting data outputs.

Crew:
Increased Confusion
Increased workload",Major,"- Alerts are provided for discrepancies, allowing the pilot to intervene and manually adjust 
as necessary."
,1,2,3,4,5,6
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale
,Aircraft Function: (1) Detect                        ,,,Sub-Function: (1.2) Object Detection and Classifications                        ,,
,Sub-Function: (1.2.1) Identification,,,,,
,1.2.1 T1,Loss of ability to identify the danger,All Phases,"Aircraft: 
- Inability to detect any objects within the flight path, resulting in high collision risks.

Crew:
Increased Stress
Loss of Situational Awareness",Catastrophic,"- The pilot must take immediate manual control and may initiate emergency return 
functions."
,1.2.1 P2,Partial loss in the identification function,All Phases,"Aircraft: 
- Some objects detected, but others missed, increasing collision risk.

Crew:
Increased Workload",Major,"- The pilot has partial data to work with but must remain vigilant 
and may activate emergency procedures if necessary."
,1.2.1 M3,Malfunction resulting in incorrect identification,All Phases,"Aircraft:
- Inconsistent identification leads to false positives or negatives.

Crew:
Increased Workload",Major,"- The system will alert the pilot to discrepancies, allowing for manual assessment and 
adjustment."
,1,2,3,4,5,6
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale
,Aircraft Function: (1) Detect                        ,,,Sub-Function: (1.2) Object Detection and Classifications                        ,,
,Sub-Function: (1.2.2) Categorization,,,,,
,1.2.2 T1,Complete loss of categorization function,All Phases,"Aircraft: 
- No categorization of detected objects, leading to improper responses to threats.

Crew:
Increased Stress
Loss of Situational Awareness",Catastrophic,"- The pilot's ability to react is compromised, necessitating manual navigation and 
emergency procedures."
,1.2.2 P2,Partial loss or degraded categorization capability,All Phases,"Aircraft: 
- Some categories identified, however, critical classifications may be missed.

Crew:
Increased Workload",Major,"- Partial information allows for some decision-making, but the pilot must remain vigilant 
and may initiate emergency functions if threats are misidentified."
,1.2.2 M3,Categorization sends incorrect data,All Phases,"Aircraft:
- Incorrect classifications leading to improper maneuvers.

Crew:
Increased Workload",Major,"- Alerts will signal classification errors, allowing the pilot to intervene as needed."
,1,2,3,4,5,6
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale
,Aircraft Function: (1) Detect                        ,,,Sub-Function: (1.2) Object Detection and Classifications                        ,,
,Sub-Function: (1.2.3) Anomaly Detection,,,,,
