,,
,,
,DAA Function Decomposition ,
,ID#,Function
,1.1,Sensor Data
,1.1.1,Initialization
,1.1.2,Data Collection
,1.1.3,Signal Processing
,1.2,Object Detection and Classifications
,1.2.1,Identification
,1.2.2,Categorization
,1.2.3,Anomaly Detection
,1.3,Position and Velocity Estimation of Detected Objects
,1.3.1,Position Calculation
,1.3.2,Velocity Estimation
,1.3.3,Trajectory Predection
,1.4,Data Fusion and Filtering 
,1.4.1,Fusion
,1.4.2,Filtering
,1.4.3,Consistency Check
,1.5,Threat Level Assessment 
,1.5.1,Proximity Analysis
,1.5.2,Collision Esitmation
,1.5.3,Priority Ranking
,1.6,Enviroment Sensing
,1.6.1,Weather Acquisition
,1.6.2,Terrian Mapping
,1.6.3,Hazard Detection
