,,,,,,,
,1,2,3,4,5,6,7
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale,Intial DAL level
,Aircraft Function: (1) Image Processing                        ,,,Sub-Function: (1.1) Color Space Conversion (Color to Grayscale)                        ,,,
,1.1 T1,Total loss of the color space conversion,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft: 
- Visual data becomes unusable for mapping and localization, leading to loss of navigation capability in
GNSS-denied conditions.

Crew:
Increased Stress
Loss of Situational Awareness",Major,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen. 

The color space conversion function fails completely, and no grayscale images are available 
for further processing.
",DAL C
,1.1 P2,Partial loss of the color space conversion,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft: 
- Reduced efficiency in mapping and localization, causing slower updates or inaccurate maps.

Crew:
Increased Workload",Minor,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

- Some images remain in the original color space due to intermittent processing errors, but 
others are correctly converted to grayscale.
",DAL D
,1.1 M3,Incorrect color space conversion,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft:
- Misleading visual data creates erroneous maps, increasing the risk of collision or navigation errors.

Crew:
Increased Workload",Hazardous,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

- Grayscale images are generated, but their brightness or contrast levels are incorrect due 
to processing inaccuracies.
",DAL B
,1,2,3,4,5,6,7
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale,Intial DAL level
,Aircraft Function: (1) Image Processing                       ,,,Sub-Function: (1.2) Resolution Adjustment                        ,,,
,1.2 T1,Total loss of resolution adjustment,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft: 
- Processing burden on PS increases significantly, causing delays in navigation updates or complete 
system failure.

Crew:
Increased stress",Major,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

- The resolution adjustment function fails entirely, and all images remain at their original 
resolution.",DAL C
,1.2 P2,Partial degradation in resolution adjustment,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft: 
- Processing delays cause slower map generation, leading to suboptimal navigation.

Crew:
Increased Workload",Minor,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

- Only some sections of the image are resized to the standard resolution (640x480), while 
other areas retain the original size.",DAL D
,1.2 M3, Erroneous resolution adjustment,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft:
- Distorted visual data results in incorrect maps, risking navigation errors or collision.

Crew:
Increased Workload
Increased Stress",Hazardous,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

- Images are resized, but incorrect scaling introduces distortions or artifacts that degrade 
their usability.",DAL B
,1,2,3,4,5,6,7
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale,Intial DAL level
,Aircraft Function: (1) Image Processing                        ,,,Sub-Function: (1.3) Data Transfer to Processing System (PS)                        ,,,
,1.3 T1,Total loss of data transfer,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft: 
-  Mapping and localization functions fail entirely, causing GNSS-denied navigation to become 
impossible.

Crew:
Increased workload",Hazardous,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

-  Processed image data is not transferred to the PS, resulting in a complete halt in 
downstream processing.
",DAL B
,1.3 P2,Partial degradation in data transfer,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft: 
- Reduced navigation precision due to lag in system response.

Crew:
Increased workload
Increased stress",Major,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

- Data transfer occurs intermittently, leading to delays in map generation and localization.",DAL C
,1.3 M3,Malfunction resulting in incorrect data transfer,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft:
-  Erroneous maps or positional data increase the risk of collision or straying off-course.

Crew:
Increased stress
Increased workload",Hazardous,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

- Data transferred to the PS contains errors or corruption, leading to incorrect inputs for 
mapping and localization functions.
",DAL B
,1,2,3,4,5,6,7
,ID#,Failure Condition,Flight Phase,Effects of failure condition on aircraft and crew,Severity Classification,Assumptions or Rationale,Intial DAL level
,Aircraft Function: (2) Mapping                       ,,,Sub-Function: (2.1) Map Generation                        ,,,
,2.1 T1,Loss of ability to generate the map,"Take-off
Climb
Criuse
Descent
Approach
Landing","Aircraft: 
- Loss of GNSS-denied navigation, leading to mission abort or high risk of collision in constrained 
environments.

Crew:
Increased stress",Catastrophic,"- The main GPS fails and then the GNSS fails too, which is very improbable to happen.

-  Map generation fails entirely, and no usable maps are created during GNSS-denied 
operations.",DAL A
