,,,
,,,
,GNSS Denied Function Decomposition ,,
,ID#,Function,
,1.1,Image Processing,
,1.1.1,Color Space Conversion (Color to Grayscale),
,1.1.2,Resolution Adjustment (640x480),
,1.1.3,Data Transfer to Processing System (PS),
,1.2,Mapping,
,1.2.1,Map Generation,
,1.2.2,RAM Storage for Intermediate Mapping Data,
,1.2.3,Map Offloading to SD Card,
,1.3,Localization,
,1.3.1,Position Calculation,
,1.3.2,Real-Time Update of Position Data,
,1.3.3,GNSS Data Synchronization with Autopilot,
,1.4,Autopilot Communication,
,1.4.1,Periodic GNSS Position Transmission,
,1.4.2,Timestamp Integration,
,1.4.3,CAN-Based Data Transfer,
,1.5,System Networking,Not taken into account
,1.5.1,Ethernet for Video Streaming,
,1.5.2,Ethernet for System Updates,
,1.6,Algorithm Acceleration,
,1.6.1,ORB Extraction via FPGA,
,1.6.2,Algorithm Offloading from PS to PL,
,1.6.3,Real-Time Coprocessing with PL,
