EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
DDR4_A6	150.620636329	0.000000000	0.000	--
DDR4_A14_WEN	150.623074991	0.002438662	0.002	--
DDR4_ODT0	150.625889727	0.005253398	0.003	--
DDR4_A8	150.632602261	0.011965933	0.008	--
DDR4_A7	150.634849891	0.014213562	0.009	--
DDR4_PAR	150.634866968	0.014230639	0.009	--
DDR4_A9	150.638507884	0.017871555	0.012	--
DDR4_A2	150.639012947	0.018376618	0.012	--
DDR4_A13	150.639026899	0.018390570	0.012	--
DDR4_A12_BCN	150.643176003	0.022539674	0.015	--
DDR4_A1	150.644900398	0.024264069	0.016	--
DDR4_A0	150.649063454	0.028427125	0.019	--
DDR4_A5	150.649063454	0.028427125	0.019	--
DDR4_CK0_P	150.652007179	0.031370850	0.021	--
DDR4_ACT_N	150.653226510	0.032590181	0.022	--
DDR4_A10_AP	150.654950904	0.034314575	0.023	--
DDR4_RESET_N	150.657956672	0.037320344	0.025	--
DDR4_A3	150.659113960	0.038477631	0.026	--
DDR4_A15_CASN	150.663277016	0.042640687	0.028	--
DDR4_BG0	150.663277016	0.042640687	0.028	--
DDR4_A4	150.663277016	0.042640687	0.028	--
DDR4_CK0_N	150.666220741	0.045584412	0.030	--
DDR4_ALERT_N	150.672822459	0.052186130	0.035	--
DDR4_A16_RASN	150.673327522	0.052691193	0.035	--
DDR4_BA0	150.673327522	0.052691193	0.035	--
DDR4_A11	150.675781809	0.055145480	0.037	--
DDR4_CKE0	150.677490578	0.056854249	0.038	--
DDR4_CS0_N	150.677490578	0.056854249	0.038	--
