EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
DDR4_DQ57	29.443860018	0.000000000	0.000	--
DDR4_DQ67	29.443860018	0.000000000	0.000	--
DDR4_DQ22	29.443860018	0.000000000	0.000	--
DDR4_DQ28	29.443860018	0.000000000	0.000	--
DDR4_DQ30	29.443860018	0.000000000	0.000	--
DDR4_DQ48	29.443860018	0.000000000	0.000	--
DDR4_DQ18	29.443860018	0.000000000	0.000	--
DDR4_DQ43	29.446802706	0.002942688	0.010	--
DDR4_DQ20	29.448023074	0.004163056	0.014	--
DDR4_DQ3	29.448023808	0.004163790	0.014	--
DDR4_DQ49	29.449747468	0.005887450	0.020	--
DDR4_DQ21	29.449747468	0.005887450	0.020	--
DDR4_DQ44	29.449747468	0.005887450	0.020	--
DDR4_DQ31	29.449747468	0.005887450	0.020	--
DDR4_DQ36	29.449747468	0.005887450	0.020	--
DDR4_DQ24	29.453910524	0.010050506	0.034	--
DDR4_DQ1	29.453910524	0.010050506	0.034	--
DDR4_DQ46	29.453910524	0.010050506	0.034	--
DDR4_DQS6_P	29.453910524	0.010050506	0.034	--
DDR4_DQ11	29.453910524	0.010050506	0.034	--
DDR4_DQ25	29.453910524	0.010050506	0.034	--
DDR4_DQ19	29.453910524	0.010050506	0.034	--
DDR4_DQ51	29.453910524	0.010050506	0.034	--
DDR4_DQ6	29.453910524	0.010050506	0.034	--
DDR4_DQS5_P	29.458073580	0.014213562	0.048	--
DDR4_DQ35	29.458073580	0.014213562	0.048	--
DDR4_DQS7_P	29.458073580	0.014213562	0.048	--
DDR4_DQS7_N	29.458073580	0.014213562	0.048	--
DDR4_DQ60	29.459797975	0.015937957	0.054	--
DDR4_DQ50	29.463961031	0.020101013	0.068	--
DDR4_DQS0_N	29.463961031	0.020101013	0.068	--
DDR4_DQ55	29.463961031	0.020101013	0.068	--
DDR4_DQ27	29.463961031	0.020101013	0.068	--
DDR4_DQ65	29.463961031	0.020101013	0.068	--
DDR4_DQ70	29.463961031	0.020101013	0.068	--
DDR4_DQS8_P	29.463961031	0.020101013	0.068	--
DDR4_DQ66	29.463961031	0.020101013	0.068	--
DDR4_DQ47	29.463961031	0.020101013	0.068	--
DDR4_DQS4_P	29.463961031	0.020101013	0.068	--
DDR4_DQ53	29.463961031	0.020101013	0.068	--
DDR4_DQ45	29.468124087	0.024264069	0.082	--
DDR4_DQ12	29.468124087	0.024264069	0.082	--
DDR4_DQ52	29.468124087	0.024264069	0.082	--
DDR4_DQS1_N	29.474011537	0.030151519	0.102	--
DDR4_DQ69	29.474011537	0.030151519	0.102	--
DDR4_DQS2_P	29.474011537	0.030151519	0.102	--
DDR4_DQ59	29.474011537	0.030151519	0.102	--
DDR4_DQ38	29.474011537	0.030151519	0.102	--
DDR4_DQ56	29.474011537	0.030151519	0.102	--
DDR4_DQ63	29.474011537	0.030151519	0.102	--
DDR4_DQ41	29.478174593	0.034314575	0.117	--
DDR4_DQ10	29.478174593	0.034314575	0.117	--
DDR4_DQ26	29.478174593	0.034314575	0.117	--
DDR4_DQ17	29.478174593	0.034314575	0.117	--
DDR4_DQ39	29.478174593	0.034314575	0.117	--
DDR4_DM0	29.482337649	0.038477631	0.131	--
DDR4_DQ32	29.482337649	0.038477631	0.131	--
DDR4_DQ5	29.482337649	0.038477631	0.131	--
DDR4_DQ9	29.484062043	0.040202025	0.137	--
DDR4_DQ62	29.484062043	0.040202025	0.137	--
DDR4_DQ68	29.484062043	0.040202025	0.137	--
DDR4_DQ23	29.484062043	0.040202025	0.137	--
DDR4_DQ71	29.484062043	0.040202025	0.137	--
DDR4_DQ54	29.488225099	0.044365081	0.151	--
DDR4_DQ64	29.488225099	0.044365081	0.151	--
DDR4_DQS8_N	29.488225099	0.044365081	0.151	--
DDR4_DQS6_N	29.488225099	0.044365081	0.151	--
DDR4_DM7	29.488225099	0.044365081	0.151	--
DDR4_DQ42	29.488225099	0.044365081	0.151	--
DDR4_DQ33	29.488225099	0.044365081	0.151	--
DDR4_DQ37	29.488225099	0.044365081	0.151	--
DDR4_DQ7	29.492388155	0.048528137	0.165	--
DDR4_DQS5_N	29.492388155	0.048528137	0.165	--
DDR4_DQ58	29.492388155	0.048528137	0.165	--
DDR4_DQ0	29.496551211	0.052691193	0.179	--
DDR4_DQ4	29.496551211	0.052691193	0.179	--
DDR4_DQS2_N	29.498275606	0.054415588	0.185	--
DDR4_DQ13	29.498275606	0.054415588	0.185	--
DDR4_DQ2	29.498275606	0.054415588	0.185	--
DDR4_DQ15	29.498275606	0.054415588	0.185	--
DDR4_DQS4_N	29.498275606	0.054415588	0.185	--
DDR4_DQ40	29.498275606	0.054415588	0.185	--
DDR4_DQ34	29.498275606	0.054415588	0.185	--
DDR4_DQS3_N	29.498275606	0.054415588	0.185	--
DDR4_DQ61	29.498275606	0.054415588	0.185	--
DDR4_DQ8	29.498275606	0.054415588	0.185	--
DDR4_DQ16	29.498275606	0.054415588	0.185	--
