identity,source,support_images,query_frames,mean_score,max_score,topk_frame_mean,min_score
rough_sketch_of_a_male_uav,data\uav_dataset_color_mild_clean\enrollment\rough_sketch_of_a_male_uav,96,70,0.6449120044708252,0.922240674495697,0.9065656661987305,0.046678002923727036
uav_2,data\uav_dataset_color_mild_clean\enrollment\uav_2,96,70,0.5037218332290649,0.8702650666236877,0.8180219531059265,-0.025505129247903824
attack_uav,data\uav_dataset_color_mild_clean\enrollment\attack_uav,96,70,0.5013940930366516,0.8175352811813354,0.7952906489372253,-0.1608639806509018
orion_uav_war_thunder,data\uav_dataset_color_mild_clean\enrollment\orion_uav_war_thunder,96,70,0.3456186056137085,0.6812735795974731,0.6580492854118347,-0.3610692024230957
mq-9_reaper,data\uav_dataset_color_mild_clean\enrollment\mq-9_reaper,96,70,0.30395469069480896,0.652167558670044,0.6165288686752319,-0.3659142851829529
real5,data\uav_dataset_color_mild_clean\enrollment\real5,18,70,0.15198373794555664,0.6593424081802368,0.6052757501602173,-0.09924910217523575
lancet,data\uav_dataset_color_mild_clean\enrollment\lancet,96,70,0.2338387370109558,0.5885318517684937,0.5597135424613953,-0.4692847728729248
uav_3,data\uav_dataset_color_mild_clean\enrollment\uav_3,96,70,0.17681604623794556,0.554519772529602,0.5088459849357605,-0.48769068717956543
real3,data\uav_dataset_color_mild_clean\enrollment\real3,15,70,0.1848708838224411,0.5248409509658813,0.4962921738624573,-0.042093537747859955
mq-1_uav_war_thunder,data\uav_dataset_color_mild_clean\enrollment\mq-1_uav_war_thunder,96,70,0.1414768397808075,0.5476804375648499,0.4574452042579651,-0.29760974645614624
uav_bl,data\uav_dataset_color_mild_clean\enrollment\uav_bl,96,70,0.13544143736362457,0.47255024313926697,0.4554535448551178,-0.4613186717033386
real1,data\uav_dataset_color_mild_clean\enrollment\real1,8,70,0.024709830060601234,0.520197331905365,0.44378966093063354,-0.21614249050617218
real2,data\uav_dataset_color_mild_clean\enrollment\real2,8,70,0.061761725693941116,0.4392547607421875,0.389167457818985,-0.2205260694026947
Ukraine_PD-2_UAV,data\uav_dataset_color_mild_clean\enrollment\Ukraine_PD-2_UAV,14,70,0.06175748258829117,0.4538344442844391,0.36205345392227173,-0.26639583706855774
without_bg,data\demo\video_demo\without_bg,5,70,0.06361191719770432,0.44031864404678345,0.35850009322166443,-0.2576589584350586
Ukraine_pavilion,data\uav_dataset_color_mild_clean\enrollment\Ukraine_pavilion,14,70,0.004205102100968361,0.38373851776123047,0.2963646650314331,-0.2571868300437927
original,data\demo\video_demo\original,5,70,0.025882691144943237,0.3753727078437805,0.2963176369667053,-0.1928173005580902
Ukraine_pavilion_2,data\uav_dataset_color_mild_clean\enrollment\Ukraine_pavilion_2,14,70,-0.00827831495553255,0.3733193278312683,0.2880321443080902,-0.23887500166893005
Ukraine_poseidon,data\uav_dataset_color_mild_clean\enrollment\Ukraine_poseidon,14,70,-0.005141621455550194,0.3776235580444336,0.2878305912017822,-0.2375267744064331
wing_loong_i_uav_war_thunder,data\uav_dataset_color_mild_clean\enrollment\wing_loong_i_uav_war_thunder,96,70,-0.03658555820584297,0.3334929943084717,0.28024807572364807,-0.566271185874939
enhanced,data\demo\video_demo\enhanced,5,70,0.01219786237925291,0.3367753326892853,0.2770705819129944,-0.197456955909729
bayraktar_tb2_military_ukrainian_navi,data\uav_dataset_color_mild_clean\enrollment\bayraktar_tb2_military_ukrainian_navi,96,70,-0.07761116325855255,0.2926301956176758,0.22150523960590363,-0.5987424254417419
drone_uav_wing_desert_camo,data\uav_dataset_color_mild_clean\enrollment\drone_uav_wing_desert_camo,96,70,-0.11601964384317398,0.2859169840812683,0.21483321487903595,-0.3405025601387024
enhanced_and_without_bg,data\demo\video_demo\enhanced_and_without_bg,5,70,-0.08902037888765335,0.28781819343566895,0.1956806629896164,-0.3473843038082123
uav,data\uav_dataset_color_mild_clean\enrollment\uav,96,70,-0.12193556874990463,0.1981128752231598,0.1720251590013504,-0.6949042081832886
rq-11_raven_uav__real-time_low-poly_asset,data\uav_dataset_color_mild_clean\enrollment\rq-11_raven_uav__real-time_low-poly_asset,96,70,-0.11285346746444702,0.27710607647895813,0.1280868649482727,-0.37520575523376465
uav_strike_drone_2_war_thunder_line_of_contact,data\uav_dataset_color_mild_clean\enrollment\uav_strike_drone_2_war_thunder_line_of_contact,96,70,-0.1962747871875763,0.2272205948829651,0.12752357125282288,-0.41437456011772156
rq-11_raven_uav__high-poly_model,data\uav_dataset_color_mild_clean\enrollment\rq-11_raven_uav__high-poly_model,96,70,-0.13220909237861633,0.26605331897735596,0.11887605488300323,-0.37569981813430786
zala_421_16e2,data\uav_dataset_color_mild_clean\enrollment\zala_421_16e2,96,70,-0.2318187952041626,0.19929936528205872,0.11684682220220566,-0.4642360508441925
uav_low_poly,data\uav_dataset_color_mild_clean\enrollment\uav_low_poly,96,70,-0.19099348783493042,0.18123061954975128,0.1131725162267685,-0.5536227226257324
uj-32_lastvika_uav,data\uav_dataset_color_mild_clean\enrollment\uj-32_lastvika_uav,96,70,-0.33007892966270447,0.24379894137382507,0.015026700682938099,-0.6141893267631531
morok_uav_drone_3d_model,data\uav_dataset_color_mild_clean\enrollment\morok_uav_drone_3d_model,96,70,-0.22509996592998505,0.11822503060102463,-0.0010224938159808517,-0.5384323596954346
bayraktar_kalkan_diha,data\uav_dataset_color_mild_clean\enrollment\bayraktar_kalkan_diha,96,70,-0.2996130883693695,0.05016656219959259,-0.02802470698952675,-0.5221876502037048
baykar_k2_kamikaze_uav_-_baykar_k2_kamikaze_iha,data\uav_dataset_color_mild_clean\enrollment\baykar_k2_kamikaze_uav_-_baykar_k2_kamikaze_iha,96,70,-0.2309870570898056,0.04401605576276779,-0.030238723382353783,-0.5896966457366943
baykar_bayraktar_tb2,data\uav_dataset_color_mild_clean\enrollment\baykar_bayraktar_tb2,96,70,-0.23776139318943024,-0.0023706331849098206,-0.032970257103443146,-0.5650080442428589
mq_1_predator_uav,data\uav_dataset_color_mild_clean\enrollment\mq_1_predator_uav,96,70,-0.4808564782142639,0.08524611592292786,-0.03676829859614372,-0.7350671291351318
uav_gerbera_low-poly,data\uav_dataset_color_mild_clean\enrollment\uav_gerbera_low-poly,96,70,-0.44505369663238525,-0.0018478184938430786,-0.10686899721622467,-0.7510426044464111
heavy_killer_drone,data\uav_dataset_color_mild_clean\enrollment\heavy_killer_drone,96,70,-0.4010699689388275,-0.0961638018488884,-0.1472567617893219,-0.6600030064582825
mq-9_reaper_uav_drone,data\uav_dataset_color_mild_clean\enrollment\mq-9_reaper_uav_drone,96,70,-0.47517329454421997,-0.060085855424404144,-0.1875872015953064,-0.7518213987350464
aai_rq2_pioneer_uav,data\uav_dataset_color_mild_clean\enrollment\aai_rq2_pioneer_uav,96,70,-0.4530750513076782,-0.06690835952758789,-0.20693564414978027,-0.7278130650520325
general_atomics,data\uav_dataset_color_mild_clean\enrollment\general_atomics,96,70,-0.4790502190589905,-0.2129421830177307,-0.27764207124710083,-0.7933188676834106
