identity,source,support_images,query_frames,mean_score,max_score,topk_frame_mean,min_score
Ukraine_poseidon,data\uav_dataset_yolox_crops\train\Ukraine_poseidon,16,70,0.346442312002182,0.8997831344604492,0.8051024675369263,-0.25240060687065125
neg_airplane,data\uav_dataset_yolox_crops\train\neg_airplane,76,70,0.08434081822633743,0.9218912720680237,0.7609590291976929,-0.5778111219406128
mq-9_reaper_uav_drone,data\uav_dataset_yolox_crops\train\mq-9_reaper_uav_drone,80,70,-0.0073358602821826935,0.8934173583984375,0.6890645623207092,-0.6209120750427246
Ukraine_pavilion_2,data\uav_dataset_yolox_crops\train\Ukraine_pavilion_2,14,70,0.3931775391101837,0.9390202164649963,0.6863082647323608,0.05411627143621445
mq-9_reaper,data\uav_dataset_yolox_crops\train\mq-9_reaper,58,70,0.224814772605896,0.8311614394187927,0.6521656513214111,-0.5754488706588745
neg_bionic_dragonfly_four-axis_uav_aircraft,data\uav_dataset_yolox_crops\train\neg_bionic_dragonfly_four-axis_uav_aircraft,28,70,0.26647961139678955,0.7318254113197327,0.6135457754135132,-0.2245229184627533
attack_uav,data\uav_dataset_yolox_crops\train\attack_uav,50,70,0.12534591555595398,0.7249223589897156,0.6073004007339478,-0.5967634320259094
neg_vampire_uav_babayaga,data\uav_dataset_yolox_crops\train\neg_vampire_uav_babayaga,14,70,0.18459361791610718,0.6552325487136841,0.5989465713500977,-0.4908510744571686
neg_airplane_crj-900_cityjet,data\uav_dataset_yolox_crops\train\neg_airplane_crj-900_cityjet,65,70,0.03736943379044533,0.8328565359115601,0.5940409302711487,-0.5493522882461548
zala_421_16e2,data\uav_dataset_yolox_crops\train\zala_421_16e2,75,70,0.09814651310443878,0.7202581763267517,0.5923636555671692,-0.4381656050682068
without_bg,data\demo\video_demo\without_bg,5,70,0.3115575313568115,0.8054695725440979,0.5921064615249634,-0.008045166730880737
neg_kf-280_uav,data\uav_dataset_yolox_crops\train\neg_kf-280_uav,86,70,-0.033193014562129974,0.7748515605926514,0.5912409424781799,-0.7032005786895752
morok_uav_drone_3d_model,data\uav_dataset_yolox_crops\train\morok_uav_drone_3d_model,82,70,-0.08133038878440857,0.7161253094673157,0.5066704154014587,-0.7295834422111511
neg_uav_drone_shop_war_thunder_props,data\uav_dataset_yolox_crops\train\neg_uav_drone_shop_war_thunder_props,69,70,0.18153607845306396,0.5498002767562866,0.4840189218521118,-0.5726394653320312
neg_md-500_defender_helicopter,data\uav_dataset_yolox_crops\train\neg_md-500_defender_helicopter,49,70,0.11096297949552536,0.5288724303245544,0.4523092210292816,-0.5671617388725281
bayraktar_tb2_military_ukrainian_navi,data\uav_dataset_yolox_crops\train\bayraktar_tb2_military_ukrainian_navi,62,70,0.08658069372177124,0.6167598962783813,0.44918906688690186,-0.5667896866798401
