frame,detected,det_conf,crop_px,score,verdict
frame_000000,1,0.8237,52,0.5693,MATCH
frame_000001,1,0.8648,49,0.3641,MATCH
frame_000002,1,0.8906,52,0.5306,MATCH
frame_000003,1,0.8727,51,0.4297,MATCH
frame_000004,1,0.8725,51,0.4279,MATCH
frame_000005,1,0.7766,55,0.4831,MATCH
frame_000006,1,0.8796,55,0.4939,MATCH
frame_000007,1,0.8655,53,0.399,MATCH
frame_000008,1,0.8515,55,0.4269,MATCH
frame_000009,1,0.8509,55,0.4326,MATCH
frame_000010,1,0.8494,55,0.4489,MATCH
frame_000011,1,0.85,56,0.4535,MATCH
frame_000012,1,0.8085,58,0.2615,MATCH
frame_000013,1,0.7645,56,0.4234,MATCH
frame_000014,1,0.7655,56,0.427,MATCH
frame_000015,1,0.8258,55,0.4236,MATCH
frame_000016,1,0.7681,59,0.4001,MATCH
frame_000017,1,0.8585,53,0.3862,MATCH
frame_000018,1,0.6048,60,0.4192,MATCH
frame_000019,1,0.6176,60,0.4168,MATCH
frame_000020,1,0.8423,55,0.3346,MATCH
frame_000021,1,0.7611,58,0.3594,MATCH
frame_000022,1,0.7662,58,0.3338,MATCH
frame_000023,1,0.8485,57,0.3164,MATCH
frame_000024,1,0.8475,57,0.3225,MATCH
frame_000025,1,0.805,56,0.3825,MATCH
frame_000026,1,0.6323,64,0.3871,MATCH
frame_000027,1,0.5112,53,0.2946,MATCH
frame_000028,1,0.7991,58,0.4598,MATCH
frame_000029,1,0.7989,58,0.4498,MATCH
frame_000030,1,0.5857,61,0.37,MATCH
frame_000031,1,0.6318,67,0.2766,MATCH
frame_000032,1,0.4125,62,0.4323,MATCH
frame_000033,1,0.5817,72,0.1764,UNKNOWN
frame_000034,1,0.5625,72,0.1589,UNKNOWN
frame_000035,1,0.6577,67,0.2733,MATCH
frame_000036,1,0.4653,65,0.2898,MATCH
frame_000037,1,0.4738,68,0.2906,MATCH
frame_000038,1,0.7056,70,0.2455,MATCH
frame_000039,1,0.7078,70,0.2484,MATCH
frame_000040,1,0.4061,69,0.3177,MATCH
frame_000041,1,0.8359,65,0.2493,MATCH
frame_000042,1,0.7285,70,0.1735,UNKNOWN
frame_000043,1,0.7673,71,0.3011,MATCH
frame_000044,1,0.7647,71,0.3028,MATCH
frame_000045,1,0.6794,72,0.1264,UNKNOWN
frame_000046,1,0.738,68,0.2382,MATCH
frame_000047,1,0.7195,66,0.2116,MATCH
frame_000048,1,0.7475,69,0.2254,MATCH
frame_000049,1,0.751,69,0.2238,MATCH
frame_000050,1,0.5633,67,0.0895,UNKNOWN
frame_000051,1,0.5376,68,0.2086,MATCH
frame_000052,1,0.6651,72,0.1428,UNKNOWN
frame_000053,1,0.7598,70,0.1536,UNKNOWN
frame_000054,1,0.7517,70,0.1483,UNKNOWN
frame_000055,1,0.6226,68,0.2303,MATCH
frame_000056,1,0.6329,73,0.1531,UNKNOWN
frame_000057,1,0.687,76,0.1956,MATCH
frame_000058,1,0.6096,74,0.1723,UNKNOWN
