frame,detected,det_conf,crop_px,score,verdict
frame_000000,1,0.8578,104,0.4185,MATCH
frame_000001,1,0.7427,99,0.4983,MATCH
frame_000002,1,0.8897,86,0.4445,MATCH
frame_000003,1,0.8881,80,0.4542,MATCH
frame_000004,1,0.834,82,0.518,MATCH
frame_000005,1,0.8342,82,0.518,MATCH
frame_000006,1,0.8723,76,0.4734,MATCH
frame_000007,1,0.9231,74,0.4769,MATCH
frame_000008,1,0.9033,81,0.5701,MATCH
frame_000009,1,0.8981,78,0.4677,MATCH
frame_000010,1,0.8927,73,0.4663,MATCH
frame_000011,1,0.8927,73,0.4653,MATCH
frame_000012,1,0.8665,73,0.4123,MATCH
frame_000013,1,0.9082,69,0.5299,MATCH
frame_000014,1,0.9094,68,0.5155,MATCH
frame_000015,1,0.9079,72,0.5468,MATCH
frame_000016,1,0.9125,60,0.5162,MATCH
frame_000017,1,0.9126,60,0.5168,MATCH
frame_000018,1,0.8438,61,0.4493,MATCH
frame_000019,1,0.8952,63,0.4015,MATCH
frame_000020,1,0.8564,62,0.4197,MATCH
frame_000021,1,0.794,58,0.6804,MATCH
frame_000022,1,0.9101,57,0.5647,MATCH
frame_000023,1,0.91,57,0.5647,MATCH
frame_000024,1,0.8296,54,0.5336,MATCH
frame_000025,1,0.9009,52,0.6027,MATCH
frame_000026,1,0.8739,51,0.6337,MATCH
frame_000027,1,0.8245,47,0.6479,MATCH
frame_000028,1,0.8628,48,0.6174,MATCH
frame_000029,1,0.8626,48,0.6174,MATCH
frame_000030,1,0.8264,40,0.6344,MATCH
frame_000031,1,0.8508,40,0.7011,MATCH
frame_000032,1,0.8336,38,0.7092,MATCH
frame_000033,1,0.7558,38,0.5847,MATCH
frame_000034,1,0.8414,39,0.5264,MATCH
frame_000035,1,0.8418,39,0.5314,MATCH
frame_000036,1,0.8641,39,0.545,MATCH
frame_000037,1,0.8492,36,0.6076,MATCH
frame_000038,1,0.8542,35,0.561,MATCH
frame_000039,1,0.8368,34,0.6415,MATCH
frame_000040,1,0.7995,34,0.6081,MATCH
frame_000041,1,0.7987,34,0.6082,MATCH
frame_000042,1,0.8024,34,0.6489,MATCH
frame_000043,1,0.7955,33,0.7011,MATCH
frame_000044,1,0.7405,36,0.6734,MATCH
frame_000045,1,0.7864,32,0.6567,MATCH
frame_000046,1,0.6741,31,0.609,MATCH
frame_000047,1,0.6742,31,0.609,MATCH
frame_000048,1,0.4547,32,0.5208,MATCH
frame_000049,1,0.3062,35,0.5868,MATCH
frame_000050,1,0.8025,32,0.617,MATCH
frame_000051,1,0.8071,32,0.4858,MATCH
frame_000052,1,0.7881,29,0.568,MATCH
frame_000053,1,0.7875,29,0.568,MATCH
frame_000054,1,0.7193,32,0.5871,MATCH
frame_000055,1,0.7774,32,0.5951,MATCH
frame_000056,1,0.8119,33,0.6264,MATCH
frame_000057,1,0.751,32,0.6186,MATCH
frame_000058,1,0.7215,32,0.5991,MATCH
frame_000059,1,0.7257,33,0.5773,MATCH
frame_000060,1,0.7058,31,0.6083,MATCH
frame_000061,1,0.7473,32,0.6331,MATCH
frame_000062,1,0.8096,30,0.6605,MATCH
frame_000063,1,0.8248,31,0.5956,MATCH
frame_000064,1,0.8343,33,0.5637,MATCH
frame_000065,1,0.8348,33,0.5639,MATCH
frame_000066,1,0.8361,33,0.5535,MATCH
frame_000067,1,0.8323,30,0.5209,MATCH
frame_000068,1,0.8201,31,0.3995,MATCH
frame_000069,1,0.7293,31,0.3752,MATCH
frame_000070,1,0.8229,31,0.3346,MATCH
frame_000071,1,0.8223,31,0.3346,MATCH
frame_000072,1,0.8104,33,0.3804,MATCH
frame_000073,1,0.8426,29,0.4859,MATCH
frame_000074,1,0.8314,30,0.622,MATCH
frame_000075,1,0.8288,30,0.5562,MATCH
frame_000076,1,0.797,31,0.648,MATCH
frame_000077,1,0.7964,31,0.648,MATCH
frame_000078,1,0.8102,29,0.6137,MATCH
frame_000079,1,0.8067,29,0.6622,MATCH
frame_000080,1,0.6743,30,0.7371,MATCH
frame_000081,1,0.7321,31,0.707,MATCH
frame_000082,1,0.7134,31,0.7099,MATCH
frame_000083,1,0.7132,31,0.7099,MATCH
frame_000084,1,0.6882,29,0.742,MATCH
frame_000085,1,0.6127,29,0.6997,MATCH
frame_000086,1,0.6811,30,0.5756,MATCH
