identity,frame,score
impostor,data\demo\train\video_fragmentation_preview\crop_0000.jpg,-0.25673916935920715
impostor,data\demo\train\video_fragmentation_preview\crop_0001.jpg,-0.28618675470352173
impostor,data\demo\train\video_fragmentation_preview\crop_0002.jpg,0.04674682393670082
impostor,data\demo\train\video_fragmentation_preview\crop_0003.jpg,-0.02328650653362274
impostor,data\demo\train\video_fragmentation_preview\crop_0004.jpg,-0.31878578662872314
impostor,data\demo\train\video_fragmentation_preview\crop_0005.jpg,0.11415139585733414
impostor,data\demo\train\video_fragmentation_preview\crop_0006.jpg,0.11276063323020935
impostor,data\demo\train\video_fragmentation_preview\crop_0007.jpg,0.10393422842025757
impostor,data\demo\train\video_fragmentation_preview\crop_0008.jpg,0.09477534890174866
impostor,data\demo\train\video_fragmentation_preview\crop_0009.jpg,0.013050496578216553
impostor,data\demo\train\video_fragmentation_preview\crop_0010.jpg,0.0008320547640323639
impostor,data\demo\train\video_fragmentation_preview\crop_0011.jpg,0.3791835308074951
impostor,data\demo\train\video_fragmentation_preview\crop_0012.jpg,0.3658021092414856
impostor,data\demo\train\video_fragmentation_preview\crop_0013.jpg,0.3167377710342407
impostor,data\demo\train\video_fragmentation_preview\crop_0014.jpg,0.08074496686458588
impostor,data\demo\train\video_fragmentation_preview\crop_0015.jpg,0.0070160068571567535
impostor,data\demo\train\video_fragmentation_preview\crop_0016.jpg,0.25151440501213074
impostor,data\demo\train\video_fragmentation_preview\crop_0017.jpg,0.005083788186311722
impostor,data\demo\train\video_fragmentation_preview\crop_0018.jpg,0.42715102434158325
impostor,data\demo\train\video_fragmentation_preview\crop_0019.jpg,0.3196067810058594
impostor,data\demo\train\video_fragmentation_preview\crop_0020.jpg,0.21590769290924072
impostor,data\demo\train\video_fragmentation_preview\crop_0021.jpg,-0.04667743667960167
impostor,data\demo\train\video_fragmentation_preview\crop_0022.jpg,0.0429554358124733
impostor,data\demo\train\video_fragmentation_preview\crop_0023.jpg,-0.17431537806987762
impostor,data\demo\train\video_fragmentation_preview\crop_0024.jpg,-0.10915756970643997
impostor,data\demo\train\video_fragmentation_preview\crop_0025.jpg,-0.1337127685546875
impostor,data\demo\train\video_fragmentation_preview\crop_0026.jpg,-0.2023347020149231
impostor,data\demo\train\video_fragmentation_preview\crop_0027.jpg,-0.3256875276565552
impostor,data\demo\train\video_fragmentation_preview\crop_0028.jpg,-0.16984772682189941
impostor,data\demo\train\video_fragmentation_preview\crop_0029.jpg,-0.1282382756471634
impostor,data\demo\train\video_fragmentation_preview\crop_0030.jpg,-0.3042736053466797
impostor,data\demo\train\video_fragmentation_preview\crop_0031.jpg,-0.3149367570877075
impostor,data\demo\train\video_fragmentation_preview\crop_0032.jpg,-0.49915415048599243
impostor,data\demo\train\video_fragmentation_preview\crop_0033.jpg,-0.4961630702018738
