k_shot,roc_auc,tpr_fpr_1,threshold_fpr_1,tpr_fpr_5,threshold_fpr_5,tpr_fpr_10,threshold_fpr_10,genuine_n,genuine_mean,impostor_n,impostor_mean,skipped_missing_gallery,skipped_no_queries
1,0.8477978370835514,0.09523809523809523,0.9792400360107422,0.3476190476190476,0.8857497572898865,0.5452380952380952,0.722295343875885,420,0.6027539364993573,546,0.005301148797839115,0,0
2,0.8916579452293738,0.13333333333333333,0.9753927379846571,0.43333333333333335,0.799874871969223,0.669047619047619,0.6126951575279236,420,0.6622069428142693,546,-0.025290620249726777,0,0
3,0.8930141287284145,0.15476190476190477,0.9728376448154449,0.40476190476190477,0.8743411004543304,0.6166666666666667,0.7436278462409973,420,0.7165550003715214,546,0.0010307769908573165,0,0
4,0.8909122623408338,0.1261904761904762,0.975308334827423,0.4452380952380952,0.8402044475078583,0.6761904761904762,0.6791825294494629,420,0.6889728843788838,546,0.005963652711975706,0,0
5,0.9040205825920111,0.1595238095238095,0.9714826971292494,0.40476190476190477,0.8678464293479919,0.6880952380952381,0.7119396328926086,420,0.7207511424486126,546,-0.017129162727299082,0,0
6,0.8907247514390372,0.1261904761904762,0.9747528046369552,0.4357142857142857,0.8352486044168472,0.6595238095238095,0.6356645226478577,420,0.6821443031408957,546,-0.01233146731629149,0,0
7,0.8973574045002617,0.11190476190476191,0.9749037861824034,0.36428571428571427,0.9121976643800735,0.6214285714285714,0.7669807076454163,420,0.7271042806539862,546,-0.005030773934863862,0,0
8,0.8988444095586953,0.10238095238095238,0.9774737119674682,0.4523809523809524,0.8517185300588608,0.6095238095238096,0.7355959117412567,420,0.7150338358733626,546,-0.0029607491513147896,0,0
9,0.9134702598988313,0.11190476190476191,0.9796451419591904,0.33095238095238094,0.8886789083480835,0.7095238095238096,0.6875977218151093,420,0.7466178139405591,546,-0.0017350706503805006,0,0
10,0.9024594453165882,0.11428571428571428,0.9778482377529143,0.4238095238095238,0.8137187063694,0.6904761904761905,0.6519233286380768,420,0.6947691157726305,546,-0.01118331279387295,0,0
11,0.9103523460666317,0.10952380952380952,0.9748233497142791,0.4,0.8634061068296432,0.680952380952381,0.6958843171596527,420,0.732785766988638,546,-0.005729238263027736,0,0
12,0.9021149485435199,0.10238095238095238,0.9781879574060438,0.4166666666666667,0.8698519170284271,0.6571428571428571,0.7219318747520447,420,0.7194877481575878,546,0.0026431308620892494,0,0
13,0.9023635095063667,0.13095238095238096,0.976778021454811,0.42857142857142855,0.868263766169548,0.638095238095238,0.7329867780208588,420,0.7199220954440534,546,-0.00888364748080899,0,0
14,0.9030873888016745,0.09047619047619047,0.9849097490310668,0.41904761904761906,0.8496056348085403,0.6738095238095239,0.6921047568321228,420,0.7200365404287974,546,-0.011472810025671463,0,0
15,0.9092272806558521,0.17857142857142858,0.9642589002847671,0.44047619047619047,0.83583764731884,0.6619047619047619,0.6950185894966125,420,0.7191462844953916,546,-0.01033614107131303,0,0
