k_shot,roc_auc,tpr_fpr_1,threshold_fpr_1,tpr_fpr_5,threshold_fpr_5,tpr_fpr_10,threshold_fpr_10,genuine_n,genuine_mean,impostor_n,impostor_mean,skipped_missing_gallery,skipped_no_queries
1,0.8590885533331577,0.14388489208633093,0.9951622754335402,0.4148681055155875,0.903728723526001,0.6091127098321343,0.761726588010788,417,0.6716353031996486,546,-0.009425663379031224,0,0
2,0.8708481534568491,0.13285024154589373,0.9952185839414596,0.2971014492753623,0.8837470263242722,0.533816425120773,0.7055658400058746,414,0.639282796387943,546,-0.009417190168721553,0,0
3,0.9078634261116013,0.145985401459854,0.9929488182067867,0.4768856447688564,0.9117998331785202,0.7420924574209246,0.6873248219490051,411,0.7557467867296253,546,-0.01095383608502237,0,0
4,0.904595812684048,0.10784313725490197,0.9973659098148345,0.44607843137254904,0.9214133322238922,0.6593137254901961,0.7437687516212463,408,0.7562677750875261,546,-0.015527196071578033,0,0
5,0.9015194681861348,0.145679012345679,0.993866768479347,0.4148148148148148,0.9201403260231018,0.6567901234567901,0.7557848691940308,405,0.7408400195018376,546,-0.014685388767900757,0,0
6,0.898164853388734,0.11442786069651742,0.9967450082302093,0.472636815920398,0.8696106672286987,0.6616915422885572,0.702490895986557,402,0.7170836926711288,546,-0.012951966187483444,0,0
7,0.9118262689691261,0.11278195488721804,0.9964696109294889,0.5288220551378446,0.8619465082883835,0.7117794486215538,0.7229938209056854,399,0.7649230508315832,546,-0.018720757397021347,0,0
8,0.9131701631701632,0.12373737373737374,0.9954956233501432,0.5227272727272727,0.8618916124105453,0.7449494949494949,0.6248368918895721,396,0.7411546625027602,546,-0.0286921969147556,0,0
9,0.9231002246269422,0.10941475826972011,0.9958524346351622,0.45038167938931295,0.9007674306631088,0.6972010178117048,0.7165514826774597,393,0.7773922710624966,546,-0.024596377504450498,0,0
10,0.909876021414483,0.11282051282051282,0.9963856071233748,0.46153846153846156,0.8877490907907486,0.6666666666666666,0.7365041375160217,390,0.75984128068846,546,-0.014729519432663044,0,0
11,0.9177101967799642,0.06976744186046512,0.998334476351738,0.43669250645994834,0.9238429218530655,0.7777777777777778,0.6755119562149048,387,0.782861412928779,546,-0.03041970940995893,0,0
12,0.9139051053113553,0.09635416666666667,0.9955478996038436,0.40625,0.927566722035408,0.7734375,0.5973767638206482,384,0.7528005620406475,546,-0.03002290143853142,0,0
13,0.913683866439772,0.08136482939632546,0.997093442082405,0.4330708661417323,0.9217002391815186,0.7060367454068242,0.7016870081424713,381,0.7638028454319072,546,-0.021663389492766326,0,0
14,0.9090305637924686,0.07407407407407407,0.9973776459693908,0.4656084656084656,0.8923472613096237,0.6587301587301587,0.7183702290058136,378,0.7521384269117363,546,-0.01528457254034914,0,0
15,0.909978021978022,0.08266666666666667,0.9931213349103923,0.4266666666666667,0.9223121404647827,0.656,0.7567839622497559,375,0.7686917790869872,546,-0.0013240229495333664,0,0
