identity,n_genuine,n_impostor,auc,auc_ci_lo,auc_ci_hi,eer,genuine_mean,impostor_mean
uav_3,25,58,0.7138,0.5876,0.8276,0.32,0.2663,0.0604
wing_loong_i_uav_war_thunder,18,58,0.7308,0.5986,0.8458,0.3841,0.4036,0.135
general_atomics,11,58,0.8542,0.7398,0.953,0.1897,0.4125,0.0574
baykar_k2_kamikaze_uav_-_baykar_k2_kamikaze_iha,7,58,0.8547,0.7092,0.9631,0.2857,0.4633,0.0471
uav_gerbera_low-poly,5,58,0.8966,0.8103,0.9655,0.1862,0.73,0.0566
heavy_killer_drone,10,58,0.9448,0.8827,0.9897,0.1,0.7356,-0.001
orion_uav_war_thunder,21,58,0.945,0.8908,0.9852,0.1318,0.5681,-0.0287
bayraktar_kalkan_diha,15,58,0.9747,0.9356,1.0,0.0592,0.791,-0.0418
Ukraine_pavilion,7,58,0.9778,0.9384,1.0,0.0517,0.8705,0.0805
aai_rq2_pioneer_uav,3,58,0.9828,0.931,1.0,0.0517,0.7271,0.0704
GLOBAL,122,580,0.875,0.8427,0.9049,0.2049,0.531,0.0436
