identity,n_genuine,n_impostor,auc,auc_ci_lo,auc_ci_hi,eer,genuine_mean,impostor_mean
orbiter-2m,13,70,0.8868,0.7945,0.9582,0.2297,0.6213,0.1666
uav_3,48,70,0.9384,0.8809,0.9813,0.1143,0.6806,0.0609
baykar_k2_kamikaze_uav_-_baykar_k2_kamikaze_iha,50,70,0.9674,0.9346,0.9949,0.0586,0.7092,0.017
Ukraine_PD-2_UAV,13,70,0.9703,0.9253,0.9978,0.0857,0.8053,0.0835
wing_loong_i_uav_war_thunder,50,70,0.9711,0.9409,0.992,0.1,0.6669,-0.011
general_atomics,50,70,0.974,0.9488,0.9923,0.08,0.7077,0.0746
uav_gerbera_low-poly,50,70,0.9754,0.9506,0.9934,0.0857,0.8981,0.1679
shahed,15,70,0.979,0.9429,1.0,0.0667,0.7193,0.0793
bayraktar_kalkan_diha,50,70,0.9837,0.964,0.9963,0.1,0.8183,0.0743
real2,16,70,0.9866,0.9545,1.0,0.0598,0.7567,0.0834
heavy_killer_drone,50,70,0.9889,0.9669,1.0,0.04,0.9209,0.1363
orion_uav_war_thunder,47,70,0.9915,0.9772,0.9997,0.0426,0.8908,-0.0491
uav,50,70,0.9997,0.9983,1.0,0.0171,0.7839,-0.0428
aai_rq2_pioneer_uav,50,70,1.0,1.0,1.0,0.0,0.9863,0.0162
Ukraine_pavilion,3,70,1.0,1.0,1.0,0.0,0.9594,0.0747
GLOBAL,555,1050,0.9756,0.9686,0.982,0.081,0.799,0.0621
