epoch,loss,train_acc,val_acc,seconds
1,2.5637,0.136,0.388,226.3
2,2.4803,0.168,0.393,197.9
3,2.2671,0.236,0.535,199.7
4,2.0751,0.315,0.561,201.2
5,1.9601,0.367,0.583,200.2
6,1.8973,0.398,0.603,200.3
7,1.8589,0.426,0.601,195.0
8,1.819,0.437,0.612,192.0
9,1.7488,0.47,0.609,204.0
10,1.7152,0.489,0.623,200.5
11,1.7044,0.498,0.62,196.8
12,1.6807,0.508,0.628,198.5
13,1.6572,0.517,0.61,197.4
14,1.6401,0.531,0.636,200.4
15,1.5997,0.545,0.633,199.2
16,1.5992,0.553,0.635,196.3
17,1.5956,0.554,0.638,192.9
18,1.5499,0.587,0.64,199.7
19,1.5616,0.578,0.647,196.1
20,1.5406,0.59,0.645,196.0
21,1.5256,0.601,0.653,192.2
22,1.518,0.613,0.653,200.2
23,1.5173,0.61,0.636,191.4
24,1.5094,0.619,0.647,195.3
25,1.5153,0.621,0.649,193.6
26,1.4922,0.633,0.653,199.1
27,1.47,0.643,0.646,201.2
28,1.4773,0.64,0.653,194.4
29,1.4561,0.651,0.641,192.4
30,1.4345,0.666,0.633,202.0
31,1.4412,0.671,0.653,203.4
32,1.4361,0.664,0.648,196.0
33,1.4352,0.673,0.647,199.4
34,1.4294,0.675,0.642,201.3
35,1.4303,0.675,0.647,194.6
36,1.4216,0.678,0.635,193.1
37,1.4191,0.687,0.65,201.5
38,1.4154,0.685,0.661,197.7
39,1.4177,0.684,0.65,195.6
40,1.4031,0.692,0.644,196.3
41,1.4185,0.678,0.653,194.1
42,1.4062,0.687,0.637,200.4
43,1.4222,0.68,0.653,195.0
44,1.4144,0.685,0.654,193.0
45,1.4005,0.691,0.659,199.3
46,1.4057,0.695,0.658,200.4
47,1.4152,0.686,0.653,195.1
48,1.4048,0.692,0.638,195.3
49,1.4108,0.688,0.649,197.8
50,1.4063,0.685,0.647,191.4
