epoch,loss,train_acc,val_acc,seconds
1,2.1731,0.183,0.356,69.5
2,2.0397,0.261,0.411,67.9
3,1.7955,0.343,0.482,69.5
4,1.535,0.435,0.509,68.7
5,1.4066,0.508,0.474,71.2
6,1.3706,0.532,0.491,71.3
7,1.3196,0.579,0.519,72.1
8,1.2732,0.614,0.505,69.4
9,1.2382,0.64,0.525,67.3
10,1.2176,0.655,0.507,67.2
11,1.172,0.701,0.503,69.2
12,1.1536,0.709,0.566,71.5
13,1.1317,0.726,0.578,69.5
14,1.1133,0.754,0.588,72.5
15,1.0825,0.769,0.612,72.7
16,1.0717,0.783,0.622,71.7
17,1.0544,0.797,0.65,71.4
18,1.0672,0.785,0.626,69.6
19,1.035,0.809,0.64,72.9
20,1.0339,0.817,0.639,71.8
21,1.0281,0.828,0.626,71.2
22,1.0318,0.827,0.604,70.9
23,1.0203,0.828,0.622,71.4
24,1.0244,0.828,0.657,71.1
25,1.0314,0.824,0.629,73.8
26,1.0159,0.831,0.648,70.7
27,1.003,0.849,0.624,72.2
28,1.0237,0.831,0.624,71.1
29,1.0164,0.83,0.631,72.5
30,1.0169,0.832,0.631,73.2
