epoch,loss,train_acc,val_acc,seconds
1,2.0888,0.239,0.376,71.4
2,1.9166,0.309,0.405,68.5
3,1.6703,0.407,0.476,71.4
4,1.4098,0.517,0.484,70.0
5,1.2757,0.606,0.494,69.3
6,1.2378,0.648,0.52,69.0
7,1.1618,0.728,0.544,71.7
8,1.1179,0.758,0.519,73.0
9,1.0927,0.775,0.552,70.5
10,1.0765,0.791,0.555,71.2
11,1.0457,0.837,0.537,71.3
12,1.0239,0.848,0.548,71.2
13,1.0112,0.852,0.565,72.0
14,0.983,0.878,0.565,72.8
15,0.9882,0.866,0.579,72.2
16,0.9597,0.886,0.591,73.1
17,0.9533,0.888,0.594,73.1
18,0.931,0.91,0.597,74.1
19,0.9234,0.91,0.637,74.2
20,0.9159,0.904,0.619,74.4
21,0.913,0.915,0.616,74.2
22,0.9116,0.911,0.606,73.6
23,0.8926,0.934,0.598,74.9
24,0.8932,0.927,0.598,73.8
25,0.8916,0.937,0.619,75.0
26,0.8972,0.921,0.602,74.2
27,0.8942,0.918,0.609,72.4
28,0.8961,0.914,0.581,74.3
29,0.8898,0.921,0.601,74.3
30,0.8872,0.932,0.592,74.8
