epoch,loss,train_acc,val_acc,seconds
1,2.5365,0.156,0.386,193.6
2,2.3763,0.213,0.439,181.5
3,2.0882,0.314,0.534,193.2
4,1.8659,0.402,0.564,187.2
5,1.7744,0.457,0.57,189.6
6,1.7137,0.503,0.586,214.9
7,1.6627,0.529,0.602,221.7
8,1.6188,0.551,0.615,272.3
9,1.5585,0.593,0.614,349.1
10,1.5367,0.604,0.621,378.4
11,1.5196,0.614,0.613,367.9
12,1.4995,0.626,0.61,327.2
13,1.4793,0.637,0.618,242.6
14,1.4553,0.662,0.604,238.1
15,1.4446,0.675,0.606,216.1
16,1.4217,0.695,0.617,223.5
17,1.4146,0.702,0.613,191.1
18,1.4093,0.71,0.611,217.9
19,1.396,0.727,0.629,194.7
20,1.3894,0.733,0.624,205.8
21,1.3785,0.75,0.603,213.6
22,1.3665,0.77,0.624,219.0
23,1.3594,0.772,0.632,201.4
24,1.3648,0.772,0.62,193.6
25,1.343,0.795,0.631,217.4
26,1.3438,0.791,0.623,223.9
27,1.3352,0.805,0.624,199.3
28,1.3215,0.812,0.619,202.7
29,1.3296,0.807,0.629,186.4
30,1.3139,0.827,0.633,200.2
31,1.3158,0.826,0.621,198.8
32,1.3099,0.828,0.623,188.2
33,1.2984,0.842,0.633,197.2
34,1.302,0.836,0.627,191.8
35,1.2977,0.843,0.632,186.5
36,1.291,0.853,0.631,195.8
37,1.2915,0.851,0.635,190.7
38,1.283,0.856,0.633,196.3
39,1.286,0.857,0.627,194.0
40,1.2769,0.866,0.636,197.8
41,1.2852,0.859,0.628,193.8
42,1.2853,0.854,0.627,186.0
43,1.2746,0.868,0.621,198.1
44,1.2771,0.865,0.616,203.4
45,1.278,0.865,0.645,207.5
46,1.2788,0.867,0.633,200.7
47,1.2816,0.856,0.622,191.9
48,1.2754,0.866,0.628,204.2
49,1.2707,0.867,0.611,219.6
50,1.2756,0.866,0.633,201.9
