epoch,loss,train_acc,val_acc,seconds
1,2.5293,0.158,0.365,196.1
2,2.3937,0.212,0.451,198.0
3,2.1097,0.316,0.54,203.9
4,1.877,0.402,0.582,259.2
5,1.7747,0.458,0.592,348.2
6,1.699,0.503,0.597,247.9
7,1.6453,0.531,0.605,240.3
8,1.5892,0.56,0.602,234.6
9,1.5693,0.576,0.62,245.8
10,1.5445,0.593,0.605,224.3
11,1.5124,0.614,0.607,199.9
12,1.4868,0.636,0.586,192.8
13,1.4634,0.654,0.609,193.7
14,1.4435,0.67,0.582,215.4
15,1.4398,0.68,0.614,201.3
16,1.4055,0.71,0.631,213.2
17,1.409,0.714,0.603,201.0
18,1.3973,0.728,0.616,199.2
19,1.3895,0.736,0.626,197.1
20,1.3738,0.76,0.616,202.5
21,1.3586,0.774,0.597,197.0
22,1.3533,0.778,0.643,190.8
23,1.3403,0.789,0.621,188.2
24,1.3352,0.797,0.639,195.7
25,1.3266,0.803,0.617,191.4
26,1.3111,0.827,0.601,196.1
27,1.309,0.833,0.633,192.7
28,1.3025,0.841,0.639,192.8
29,1.2936,0.846,0.626,189.3
30,1.277,0.863,0.611,200.6
31,1.268,0.869,0.606,192.5
32,1.2646,0.874,0.626,195.0
33,1.2507,0.886,0.629,196.4
34,1.2502,0.886,0.613,192.7
35,1.2477,0.885,0.615,189.4
36,1.235,0.899,0.632,191.7
37,1.2301,0.903,0.618,186.0
38,1.226,0.91,0.62,196.9
39,1.2235,0.911,0.62,186.9
40,1.2159,0.917,0.621,190.6
41,1.2047,0.927,0.607,189.8
42,1.2052,0.926,0.621,201.8
43,1.1984,0.931,0.636,190.7
44,1.1952,0.933,0.624,201.0
45,1.1918,0.935,0.626,196.7
46,1.1859,0.936,0.62,197.1
47,1.177,0.941,0.627,199.6
48,1.1729,0.943,0.616,199.2
49,1.175,0.94,0.607,188.7
50,1.1662,0.946,0.613,198.8
51,1.1562,0.953,0.622,198.5
52,1.1577,0.949,0.608,193.4
53,1.1561,0.949,0.608,196.4
54,1.1468,0.956,0.618,198.4
55,1.149,0.954,0.617,188.2
56,1.1401,0.959,0.613,195.2
57,1.1386,0.959,0.616,189.9
58,1.1406,0.957,0.615,188.4
59,1.1358,0.959,0.603,191.8
60,1.1316,0.96,0.61,189.9
61,1.1323,0.961,0.595,199.6
62,1.1246,0.965,0.611,191.1
63,1.129,0.964,0.601,189.5
64,1.1183,0.968,0.618,203.2
65,1.1211,0.967,0.619,188.5
66,1.1169,0.968,0.602,194.4
67,1.1195,0.967,0.607,196.2
68,1.115,0.971,0.612,195.9
69,1.115,0.969,0.594,194.0
70,1.1097,0.969,0.588,191.2
71,1.1128,0.968,0.617,191.1
72,1.1102,0.969,0.61,196.8
73,1.1056,0.971,0.606,203.7
74,1.1079,0.969,0.625,199.9
75,1.103,0.972,0.612,200.3
76,1.106,0.971,0.606,198.1
77,1.1038,0.971,0.61,193.0
78,1.1062,0.97,0.585,193.7
79,1.1023,0.972,0.626,198.1
80,1.1032,0.97,0.615,197.3
81,1.0982,0.975,0.611,196.8
82,1.0997,0.975,0.599,194.3
83,1.1007,0.973,0.613,193.4
84,1.0977,0.975,0.604,193.5
85,1.0999,0.972,0.619,186.6
86,1.1,0.973,0.619,193.0
87,1.094,0.976,0.612,193.3
88,1.0992,0.973,0.614,186.6
89,1.0981,0.975,0.624,193.3
90,1.0976,0.976,0.611,196.7
91,1.0972,0.973,0.593,192.4
92,1.0973,0.975,0.601,187.7
93,1.0985,0.975,0.626,190.7
94,1.0955,0.975,0.602,192.4
95,1.094,0.976,0.596,191.4
96,1.0949,0.974,0.611,191.6
97,1.0954,0.976,0.601,194.2
98,1.0932,0.976,0.61,193.7
99,1.0938,0.975,0.605,192.3
100,1.0937,0.977,0.606,191.4
