epoch,loss,train_acc,val_acc,seconds
1,2.0861,0.323,0.534,216.0
2,1.9686,0.375,0.589,215.5
3,1.7711,0.46,0.649,211.0
4,1.6358,0.521,0.656,224.6
5,1.5771,0.553,0.681,220.8
6,1.5116,0.587,0.644,217.6
7,1.4824,0.607,0.667,208.7
8,1.4564,0.628,0.65,207.5
9,1.4299,0.642,0.682,225.1
10,1.41,0.651,0.65,218.4
11,1.3956,0.673,0.656,212.3
12,1.3751,0.699,0.668,211.2
13,1.3666,0.701,0.657,210.6
14,1.3569,0.706,0.666,214.6
15,1.3387,0.727,0.67,213.7
16,1.3452,0.723,0.665,200.4
17,1.3282,0.746,0.653,208.1
18,1.335,0.744,0.669,208.0
19,1.3117,0.758,0.686,205.2
20,1.3071,0.764,0.675,214.5
21,1.2881,0.782,0.668,216.5
22,1.2865,0.781,0.68,217.1
23,1.2919,0.776,0.684,210.0
24,1.2796,0.791,0.703,217.8
25,1.2689,0.8,0.682,209.2
26,1.2549,0.812,0.672,216.9
27,1.267,0.807,0.684,205.7
28,1.2559,0.822,0.685,207.7
29,1.2515,0.822,0.674,209.6
30,1.2485,0.829,0.686,203.2
31,1.2381,0.835,0.691,206.8
32,1.2426,0.84,0.674,205.5
33,1.2358,0.84,0.677,219.2
34,1.2369,0.838,0.696,207.7
35,1.2209,0.858,0.69,220.2
36,1.2174,0.853,0.677,214.0
37,1.2278,0.849,0.696,211.6
38,1.22,0.857,0.665,214.8
39,1.2246,0.857,0.672,210.7
40,1.222,0.854,0.684,210.0
41,1.2157,0.866,0.695,207.1
42,1.2162,0.867,0.674,205.3
43,1.2177,0.863,0.675,208.2
44,1.2203,0.862,0.688,204.5
45,1.215,0.865,0.676,200.4
46,1.2152,0.869,0.664,197.4
47,1.2096,0.87,0.678,209.8
48,1.2137,0.867,0.676,209.0
49,1.2149,0.867,0.677,211.1
50,1.2168,0.864,0.678,205.5
