epoch,loss,train_acc,val_acc,seconds
1,2.265,0.147,0.313,57.3
2,2.1775,0.19,0.341,60.4
3,2.0054,0.268,0.386,61.8
4,1.8148,0.336,0.444,61.9
5,1.7042,0.371,0.451,60.9
6,1.6675,0.407,0.444,60.8
7,1.5978,0.446,0.453,60.1
8,1.5337,0.475,0.434,62.2
9,1.5236,0.495,0.446,59.3
10,1.4953,0.508,0.451,59.9
11,1.4737,0.508,0.449,58.9
12,1.4482,0.537,0.438,59.8
13,1.4571,0.529,0.46,60.6
14,1.4085,0.564,0.426,61.3
15,1.4086,0.567,0.448,59.8
16,1.3999,0.579,0.433,57.8
17,1.3844,0.59,0.43,57.2
18,1.3669,0.596,0.458,57.5
19,1.3333,0.601,0.44,57.9
20,1.3443,0.609,0.416,61.2
21,1.3451,0.604,0.447,59.6
22,1.3347,0.606,0.446,60.0
23,1.3468,0.604,0.444,60.0
24,1.3242,0.622,0.432,60.3
25,1.3469,0.611,0.434,58.1
26,1.3422,0.612,0.449,58.7
27,1.3219,0.615,0.437,60.5
28,1.3319,0.624,0.449,59.7
29,1.3209,0.619,0.448,59.6
30,1.3346,0.608,0.46,60.8
