frame,detected,det_conf,crop_px,score,verdict
frame_000000_UNKNOWN_-0.526,1,,76,0.0848,UNKNOWN
frame_000001_UNKNOWN_-0.584,1,,75,-0.0998,UNKNOWN
frame_000002_UNKNOWN_-0.542,1,,70,-0.1959,UNKNOWN
frame_000003_UNKNOWN_-0.561,1,,70,-0.2048,UNKNOWN
frame_000004_UNKNOWN_-0.534,1,,67,-0.2271,UNKNOWN
frame_000005_UNKNOWN_-0.569,1,,69,-0.1649,UNKNOWN
frame_000006_UNKNOWN_-0.583,1,,60,-0.1985,UNKNOWN
frame_000007_UNKNOWN_-0.484,1,,59,-0.3893,UNKNOWN
frame_000008_UNKNOWN_-0.425,1,,59,-0.3534,UNKNOWN
frame_000009_UNKNOWN_-0.552,1,,55,-0.2544,UNKNOWN
frame_000010_UNKNOWN_-0.584,1,,52,0.0338,UNKNOWN
frame_000011_UNKNOWN_-0.533,1,,49,-0.2599,UNKNOWN
frame_000012_UNKNOWN_-0.397,1,,44,-0.3068,UNKNOWN
frame_000013_UNKNOWN_-0.442,1,,44,-0.2765,UNKNOWN
frame_000014_UNKNOWN_-0.473,1,,43,-0.2927,UNKNOWN
frame_000015_UNKNOWN_-0.468,1,,42,-0.2539,UNKNOWN
frame_000016_UNKNOWN_-0.631,1,,42,-0.2485,UNKNOWN
frame_000017_UNKNOWN_-0.626,1,,42,-0.328,UNKNOWN
frame_000018_UNKNOWN_-0.640,1,,42,-0.2997,UNKNOWN
frame_000019_UNKNOWN_-0.635,1,,41,-0.2053,UNKNOWN
frame_000020_UNKNOWN_-0.591,1,,44,-0.3045,UNKNOWN
frame_000021_UNKNOWN_-0.505,1,,46,-0.1757,UNKNOWN
frame_000022_UNKNOWN_-0.562,1,,44,-0.2558,UNKNOWN
frame_000023_UNKNOWN_-0.524,1,,44,-0.1752,UNKNOWN
frame_000025_UNKNOWN_-0.554,1,,46,-0.2723,UNKNOWN
frame_000026_UNKNOWN_-0.643,1,,48,-0.2057,UNKNOWN
frame_000027_UNKNOWN_-0.595,1,,44,-0.2601,UNKNOWN
frame_000028_UNKNOWN_-0.587,1,,43,-0.2973,UNKNOWN
frame_000029_UNKNOWN_-0.522,1,,45,-0.3461,UNKNOWN
frame_000030_UNKNOWN_-0.483,1,,45,-0.2679,UNKNOWN
frame_000031_UNKNOWN_-0.489,1,,43,-0.2551,UNKNOWN
frame_000032_UNKNOWN_-0.549,1,,43,-0.2017,UNKNOWN
frame_000033_UNKNOWN_-0.542,1,,43,-0.2762,UNKNOWN
frame_000034_UNKNOWN_-0.440,1,,44,-0.3463,UNKNOWN
frame_000035_UNKNOWN_-0.774,1,,42,-0.2082,UNKNOWN
frame_000036_UNKNOWN_-0.686,1,,45,-0.2837,UNKNOWN
frame_000037_UNKNOWN_-0.832,1,,47,-0.2527,UNKNOWN
frame_000038_UNKNOWN_-0.821,1,,47,-0.1619,UNKNOWN
frame_000039_UNKNOWN_-0.749,1,,47,-0.2985,UNKNOWN
frame_000040_UNKNOWN_-0.705,1,,46,-0.2849,UNKNOWN
frame_000041_UNKNOWN_-0.670,1,,44,-0.374,UNKNOWN
frame_000042_UNKNOWN_-0.580,1,,41,-0.4264,UNKNOWN
frame_000043_UNKNOWN_-0.687,1,,41,-0.3496,UNKNOWN
frame_000044_UNKNOWN_-0.667,1,,48,-0.3382,UNKNOWN
frame_000045_UNKNOWN_-0.533,1,,42,-0.4336,UNKNOWN
frame_000046_UNKNOWN_-0.543,1,,45,-0.441,UNKNOWN
frame_000047_UNKNOWN_-0.622,1,,49,-0.3346,UNKNOWN
frame_000048_UNKNOWN_-0.641,1,,49,-0.3227,UNKNOWN
frame_000049_UNKNOWN_-0.762,1,,48,-0.1948,UNKNOWN
frame_000050_UNKNOWN_-0.617,1,,48,-0.4414,UNKNOWN
frame_000051_UNKNOWN_-0.665,1,,45,-0.3065,UNKNOWN
frame_000052_UNKNOWN_-0.667,1,,47,-0.3658,UNKNOWN
frame_000053_UNKNOWN_-0.673,1,,47,-0.3679,UNKNOWN
frame_000054_UNKNOWN_-0.655,1,,49,-0.3651,UNKNOWN
frame_000055_UNKNOWN_-0.584,1,,49,-0.2745,UNKNOWN
frame_000056_UNKNOWN_-0.595,1,,44,-0.284,UNKNOWN
frame_000057_UNKNOWN_-0.626,1,,47,-0.3303,UNKNOWN
frame_000058_UNKNOWN_-0.639,1,,47,-0.3217,UNKNOWN
frame_000059_UNKNOWN_-0.612,1,,46,-0.348,UNKNOWN
frame_000060_UNKNOWN_-0.660,1,,45,-0.1765,UNKNOWN
frame_000061_UNKNOWN_-0.578,1,,49,-0.2942,UNKNOWN
frame_000062_UNKNOWN_-0.623,1,,48,-0.4037,UNKNOWN
frame_000063_UNKNOWN_-0.600,1,,48,-0.3513,UNKNOWN
frame_000064_UNKNOWN_-0.669,1,,50,-0.2968,UNKNOWN
frame_000065_UNKNOWN_-0.667,1,,50,-0.207,UNKNOWN
frame_000066_UNKNOWN_-0.626,1,,50,-0.3108,UNKNOWN
frame_000067_UNKNOWN_-0.690,1,,45,-0.2909,UNKNOWN
frame_000068_UNKNOWN_-0.695,1,,45,-0.2918,UNKNOWN
frame_000069_UNKNOWN_-0.658,1,,49,-0.2673,UNKNOWN
frame_000070_UNKNOWN_-0.674,1,,47,-0.3309,UNKNOWN
frame_000071_UNKNOWN_-0.671,1,,49,-0.3639,UNKNOWN
frame_000072_UNKNOWN_-0.633,1,,49,-0.293,UNKNOWN
frame_000073_UNKNOWN_-0.643,1,,49,-0.2991,UNKNOWN
frame_000074_UNKNOWN_-0.567,1,,51,-0.3956,UNKNOWN
frame_000075_UNKNOWN_-0.734,1,,52,-0.277,UNKNOWN
frame_000076_UNKNOWN_-0.642,1,,53,-0.3632,UNKNOWN
frame_000077_UNKNOWN_-0.699,1,,52,-0.2786,UNKNOWN
frame_000078_UNKNOWN_-0.708,1,,52,-0.2841,UNKNOWN
frame_000079_UNKNOWN_-0.639,1,,52,-0.3458,UNKNOWN
frame_000080_UNKNOWN_-0.715,1,,52,-0.3834,UNKNOWN
frame_000081_UNKNOWN_-0.645,1,,54,-0.3239,UNKNOWN
frame_000082_UNKNOWN_-0.610,1,,52,-0.4051,UNKNOWN
frame_000083_UNKNOWN_-0.613,1,,53,-0.3647,UNKNOWN
frame_000084_UNKNOWN_-0.722,1,,52,-0.3313,UNKNOWN
frame_000085_UNKNOWN_-0.658,1,,49,-0.3941,UNKNOWN
frame_000086_UNKNOWN_-0.588,1,,51,-0.4949,UNKNOWN
frame_000087_UNKNOWN_-0.597,1,,51,-0.3985,UNKNOWN
frame_000088_UNKNOWN_-0.593,1,,51,-0.39,UNKNOWN
frame_000089_UNKNOWN_-0.674,1,,49,-0.3432,UNKNOWN
frame_000090_UNKNOWN_-0.590,1,,53,-0.3749,UNKNOWN
frame_000091_UNKNOWN_-0.647,1,,53,-0.3058,UNKNOWN
frame_000092_UNKNOWN_-0.603,1,,53,-0.3251,UNKNOWN
frame_000093_UNKNOWN_-0.591,1,,53,-0.3515,UNKNOWN
frame_000094_UNKNOWN_-0.621,1,,52,-0.3022,UNKNOWN
frame_000095_UNKNOWN_-0.603,1,,53,-0.3877,UNKNOWN
frame_000096_UNKNOWN_-0.762,1,,49,-0.2545,UNKNOWN
frame_000097_UNKNOWN_-0.658,1,,50,-0.4445,UNKNOWN
frame_000098_UNKNOWN_-0.650,1,,50,-0.4108,UNKNOWN
frame_000099_UNKNOWN_-0.711,1,,51,-0.2169,UNKNOWN
frame_000100_UNKNOWN_-0.654,1,,51,-0.3263,UNKNOWN
frame_000101_UNKNOWN_-0.664,1,,49,-0.2519,UNKNOWN
frame_000102_UNKNOWN_-0.617,1,,49,-0.3305,UNKNOWN
frame_000103_UNKNOWN_-0.557,1,,49,-0.2994,UNKNOWN
frame_000104_UNKNOWN_-0.589,1,,52,-0.2801,UNKNOWN
frame_000105_UNKNOWN_-0.432,1,,52,-0.2311,UNKNOWN
frame_000106_UNKNOWN_-0.444,1,,48,-0.3387,UNKNOWN
frame_000107_UNKNOWN_-0.425,1,,48,-0.4144,UNKNOWN
frame_000108_UNKNOWN_-0.451,1,,48,-0.3773,UNKNOWN
frame_000109_UNKNOWN_-0.477,1,,50,-0.2031,UNKNOWN
frame_000110_UNKNOWN_-0.442,1,,50,-0.2758,UNKNOWN
frame_000111_UNKNOWN_-0.416,1,,52,-0.2248,UNKNOWN
frame_000112_UNKNOWN_-0.443,1,,47,-0.2722,UNKNOWN
frame_000113_UNKNOWN_-0.293,1,,47,-0.3576,UNKNOWN
frame_000114_UNKNOWN_-0.462,1,,42,-0.296,UNKNOWN
frame_000115_UNKNOWN_-0.386,1,,46,-0.3015,UNKNOWN
frame_000116_UNKNOWN_-0.689,1,,45,-0.1977,UNKNOWN
frame_000117_UNKNOWN_-0.679,1,,51,-0.2369,UNKNOWN
frame_000118_UNKNOWN_-0.681,1,,51,-0.2328,UNKNOWN
frame_000119_UNKNOWN_-0.731,1,,51,-0.2141,UNKNOWN
frame_000120_UNKNOWN_-0.644,1,,50,-0.1862,UNKNOWN
frame_000121_UNKNOWN_-0.692,1,,52,-0.1327,UNKNOWN
frame_000122_UNKNOWN_-0.769,1,,53,-0.2839,UNKNOWN
frame_000123_UNKNOWN_-0.745,1,,53,-0.2917,UNKNOWN
frame_000124_UNKNOWN_-0.771,1,,54,-0.1566,UNKNOWN
frame_000125_UNKNOWN_-0.727,1,,52,-0.331,UNKNOWN
frame_000126_UNKNOWN_-0.776,1,,55,-0.2559,UNKNOWN
frame_000127_UNKNOWN_-0.804,1,,55,-0.2048,UNKNOWN
frame_000128_UNKNOWN_-0.763,1,,55,-0.1911,UNKNOWN
frame_000130_UNKNOWN_-0.332,1,,49,-0.3857,UNKNOWN
frame_000131_UNKNOWN_-0.531,1,,56,-0.0667,UNKNOWN
frame_000132_UNKNOWN_-0.385,1,,54,-0.2172,UNKNOWN
frame_000133_UNKNOWN_-0.322,1,,54,-0.2742,UNKNOWN
frame_000134_UNKNOWN_-0.345,1,,57,-0.1452,UNKNOWN
frame_000135_UNKNOWN_-0.501,1,,56,-0.2322,UNKNOWN
frame_000136_UNKNOWN_-0.183,1,,59,-0.2463,UNKNOWN
frame_000137_UNKNOWN_-0.483,1,,59,-0.1307,UNKNOWN
frame_000138_UNKNOWN_-0.508,1,,59,-0.1622,UNKNOWN
