frame,detected,det_conf,crop_px,score,verdict
frame_000000_UNKNOWN_-0.526,1,,76,0.2199,MATCH
frame_000001_UNKNOWN_-0.584,1,,75,0.2619,MATCH
frame_000002_UNKNOWN_-0.542,1,,70,0.1528,UNKNOWN
frame_000003_UNKNOWN_-0.561,1,,70,0.1678,UNKNOWN
frame_000004_UNKNOWN_-0.534,1,,67,0.3574,MATCH
frame_000005_UNKNOWN_-0.569,1,,69,0.3725,MATCH
frame_000006_UNKNOWN_-0.583,1,,60,0.2135,MATCH
frame_000007_UNKNOWN_-0.484,1,,59,0.1691,UNKNOWN
frame_000008_UNKNOWN_-0.425,1,,59,0.1133,UNKNOWN
frame_000009_UNKNOWN_-0.552,1,,55,0.2518,MATCH
frame_000010_UNKNOWN_-0.584,1,,52,0.1235,UNKNOWN
frame_000011_UNKNOWN_-0.533,1,,49,0.2634,MATCH
frame_000012_UNKNOWN_-0.397,1,,44,0.2849,MATCH
frame_000013_UNKNOWN_-0.442,1,,44,0.2349,MATCH
frame_000014_UNKNOWN_-0.473,1,,43,0.3625,MATCH
frame_000015_UNKNOWN_-0.468,1,,42,0.2671,MATCH
frame_000016_UNKNOWN_-0.631,1,,42,0.3652,MATCH
frame_000017_UNKNOWN_-0.626,1,,42,0.3996,MATCH
frame_000018_UNKNOWN_-0.640,1,,42,0.3848,MATCH
frame_000019_UNKNOWN_-0.635,1,,41,0.3043,MATCH
frame_000020_UNKNOWN_-0.591,1,,44,0.2448,MATCH
frame_000021_UNKNOWN_-0.505,1,,46,0.1567,UNKNOWN
frame_000022_UNKNOWN_-0.562,1,,44,0.36,MATCH
frame_000023_UNKNOWN_-0.524,1,,44,0.2605,MATCH
frame_000025_UNKNOWN_-0.554,1,,46,0.3145,MATCH
frame_000026_UNKNOWN_-0.643,1,,48,0.4013,MATCH
frame_000027_UNKNOWN_-0.595,1,,44,0.312,MATCH
frame_000028_UNKNOWN_-0.587,1,,43,0.3018,MATCH
frame_000029_UNKNOWN_-0.522,1,,45,0.2948,MATCH
frame_000030_UNKNOWN_-0.483,1,,45,0.4256,MATCH
frame_000031_UNKNOWN_-0.489,1,,43,0.5254,MATCH
frame_000032_UNKNOWN_-0.549,1,,43,0.4344,MATCH
frame_000033_UNKNOWN_-0.542,1,,43,0.4666,MATCH
frame_000034_UNKNOWN_-0.440,1,,44,0.5359,MATCH
frame_000035_UNKNOWN_-0.774,1,,42,0.488,MATCH
frame_000036_UNKNOWN_-0.686,1,,45,0.3028,MATCH
frame_000037_UNKNOWN_-0.832,1,,47,0.5096,MATCH
frame_000038_UNKNOWN_-0.821,1,,47,0.5383,MATCH
frame_000039_UNKNOWN_-0.749,1,,47,0.4717,MATCH
frame_000040_UNKNOWN_-0.705,1,,46,0.5484,MATCH
frame_000041_UNKNOWN_-0.670,1,,44,0.4352,MATCH
frame_000042_UNKNOWN_-0.580,1,,41,0.5347,MATCH
frame_000043_UNKNOWN_-0.687,1,,41,0.5143,MATCH
frame_000044_UNKNOWN_-0.667,1,,48,0.3963,MATCH
frame_000045_UNKNOWN_-0.533,1,,42,0.5664,MATCH
frame_000046_UNKNOWN_-0.543,1,,45,0.4776,MATCH
frame_000047_UNKNOWN_-0.622,1,,49,0.603,MATCH
frame_000048_UNKNOWN_-0.641,1,,49,0.5916,MATCH
frame_000049_UNKNOWN_-0.762,1,,48,0.4765,MATCH
frame_000050_UNKNOWN_-0.617,1,,48,0.5185,MATCH
frame_000051_UNKNOWN_-0.665,1,,45,0.518,MATCH
frame_000052_UNKNOWN_-0.667,1,,47,0.5993,MATCH
frame_000053_UNKNOWN_-0.673,1,,47,0.6143,MATCH
frame_000054_UNKNOWN_-0.655,1,,49,0.5163,MATCH
frame_000055_UNKNOWN_-0.584,1,,49,0.5811,MATCH
frame_000056_UNKNOWN_-0.595,1,,44,0.4071,MATCH
frame_000057_UNKNOWN_-0.626,1,,47,0.3769,MATCH
frame_000058_UNKNOWN_-0.639,1,,47,0.3943,MATCH
frame_000059_UNKNOWN_-0.612,1,,46,0.4418,MATCH
frame_000060_UNKNOWN_-0.660,1,,45,0.3191,MATCH
frame_000061_UNKNOWN_-0.578,1,,49,0.4337,MATCH
frame_000062_UNKNOWN_-0.623,1,,48,0.3822,MATCH
frame_000063_UNKNOWN_-0.600,1,,48,0.4019,MATCH
frame_000064_UNKNOWN_-0.669,1,,50,0.4168,MATCH
frame_000065_UNKNOWN_-0.667,1,,50,0.5553,MATCH
frame_000066_UNKNOWN_-0.626,1,,50,0.4774,MATCH
frame_000067_UNKNOWN_-0.690,1,,45,0.5641,MATCH
frame_000068_UNKNOWN_-0.695,1,,45,0.5538,MATCH
frame_000069_UNKNOWN_-0.658,1,,49,0.5901,MATCH
frame_000070_UNKNOWN_-0.674,1,,47,0.4811,MATCH
frame_000071_UNKNOWN_-0.671,1,,49,0.5626,MATCH
frame_000072_UNKNOWN_-0.633,1,,49,0.4244,MATCH
frame_000073_UNKNOWN_-0.643,1,,49,0.4098,MATCH
frame_000074_UNKNOWN_-0.567,1,,51,0.557,MATCH
frame_000075_UNKNOWN_-0.734,1,,52,0.5312,MATCH
frame_000076_UNKNOWN_-0.642,1,,53,0.5671,MATCH
frame_000077_UNKNOWN_-0.699,1,,52,0.5526,MATCH
frame_000078_UNKNOWN_-0.708,1,,52,0.5841,MATCH
frame_000079_UNKNOWN_-0.639,1,,52,0.6788,MATCH
frame_000080_UNKNOWN_-0.715,1,,52,0.6692,MATCH
frame_000081_UNKNOWN_-0.645,1,,54,0.6418,MATCH
frame_000082_UNKNOWN_-0.610,1,,52,0.5913,MATCH
frame_000083_UNKNOWN_-0.613,1,,53,0.6062,MATCH
frame_000084_UNKNOWN_-0.722,1,,52,0.5375,MATCH
frame_000085_UNKNOWN_-0.658,1,,49,0.5102,MATCH
frame_000086_UNKNOWN_-0.588,1,,51,0.505,MATCH
frame_000087_UNKNOWN_-0.597,1,,51,0.6581,MATCH
frame_000088_UNKNOWN_-0.593,1,,51,0.6651,MATCH
frame_000089_UNKNOWN_-0.674,1,,49,0.6301,MATCH
frame_000090_UNKNOWN_-0.590,1,,53,0.7393,MATCH
frame_000091_UNKNOWN_-0.647,1,,53,0.6463,MATCH
frame_000092_UNKNOWN_-0.603,1,,53,0.7723,MATCH
frame_000093_UNKNOWN_-0.591,1,,53,0.7243,MATCH
frame_000094_UNKNOWN_-0.621,1,,52,0.7489,MATCH
frame_000095_UNKNOWN_-0.603,1,,53,0.6766,MATCH
frame_000096_UNKNOWN_-0.762,1,,49,0.676,MATCH
frame_000097_UNKNOWN_-0.658,1,,50,0.5753,MATCH
frame_000098_UNKNOWN_-0.650,1,,50,0.6347,MATCH
frame_000099_UNKNOWN_-0.711,1,,51,0.6361,MATCH
frame_000100_UNKNOWN_-0.654,1,,51,0.6531,MATCH
frame_000101_UNKNOWN_-0.664,1,,49,0.468,MATCH
frame_000102_UNKNOWN_-0.617,1,,49,0.6513,MATCH
frame_000103_UNKNOWN_-0.557,1,,49,0.7159,MATCH
frame_000104_UNKNOWN_-0.589,1,,52,0.5441,MATCH
frame_000105_UNKNOWN_-0.432,1,,52,0.3949,MATCH
frame_000106_UNKNOWN_-0.444,1,,48,0.58,MATCH
frame_000107_UNKNOWN_-0.425,1,,48,0.6875,MATCH
frame_000108_UNKNOWN_-0.451,1,,48,0.6793,MATCH
frame_000109_UNKNOWN_-0.477,1,,50,0.7931,MATCH
frame_000110_UNKNOWN_-0.442,1,,50,0.6634,MATCH
frame_000111_UNKNOWN_-0.416,1,,52,0.5002,MATCH
frame_000112_UNKNOWN_-0.443,1,,47,0.7214,MATCH
frame_000113_UNKNOWN_-0.293,1,,47,0.6443,MATCH
frame_000114_UNKNOWN_-0.462,1,,42,0.8122,MATCH
frame_000115_UNKNOWN_-0.386,1,,46,0.7382,MATCH
frame_000116_UNKNOWN_-0.689,1,,45,0.6603,MATCH
frame_000117_UNKNOWN_-0.679,1,,51,0.653,MATCH
frame_000118_UNKNOWN_-0.681,1,,51,0.6164,MATCH
frame_000119_UNKNOWN_-0.731,1,,51,0.5781,MATCH
frame_000120_UNKNOWN_-0.644,1,,50,0.7543,MATCH
frame_000121_UNKNOWN_-0.692,1,,52,0.7121,MATCH
frame_000122_UNKNOWN_-0.769,1,,53,0.522,MATCH
frame_000123_UNKNOWN_-0.745,1,,53,0.4754,MATCH
frame_000124_UNKNOWN_-0.771,1,,54,0.5521,MATCH
frame_000125_UNKNOWN_-0.727,1,,52,0.5715,MATCH
frame_000126_UNKNOWN_-0.776,1,,55,0.3708,MATCH
frame_000127_UNKNOWN_-0.804,1,,55,0.5442,MATCH
