source,det_index,label_id,class_name,score,x1,y1,x2,y2,crop_file
vid_1000133387_f00008,0,0,airplane,0.6754,607.8,8.0,661.3,35.6,vid_1000133387_f00008_det00_airplane_0.68.jpg
vid_1000133387_f00010,0,0,airplane,0.6058,551.1,8.9,601.9,34.8,vid_1000133387_f00010_det00_airplane_0.61.jpg
vid_1000133387_f00025,0,1,helicopter,0.2564,228.1,577.9,454.0,700.0,vid_1000133387_f00025_det00_helicopter_0.26.jpg
vid_1000133387_f00026,0,1,helicopter,0.2679,270.4,577.8,496.3,706.0,vid_1000133387_f00026_det00_helicopter_0.27.jpg
vid_1000133387_f00027,0,0,airplane,0.8261,28.5,306.0,74.5,324.6,vid_1000133387_f00027_det00_airplane_0.83.jpg
vid_1000133387_f00027,1,1,helicopter,0.4193,341.7,484.5,552.4,599.7,vid_1000133387_f00027_det01_helicopter_0.42.jpg
vid_1000133387_f00028,0,0,airplane,0.8734,14.0,303.7,57.9,322.7,vid_1000133387_f00028_det00_airplane_0.87.jpg
vid_1000133387_f00029,0,0,airplane,0.8346,20.1,395.6,62.0,414.4,vid_1000133387_f00029_det00_airplane_0.83.jpg
vid_1000133387_f00030,0,0,airplane,0.8604,28.8,402.7,71.1,420.0,vid_1000133387_f00030_det00_airplane_0.86.jpg
vid_1000133387_f00031,0,0,airplane,0.7828,40.7,326.5,84.9,345.8,vid_1000133387_f00031_det00_airplane_0.78.jpg
vid_1000133387_f00032,0,0,airplane,0.4156,12.0,294.7,53.9,315.9,vid_1000133387_f00032_det00_airplane_0.42.jpg
vid_1000133387_f00037,0,0,airplane,0.7212,2.9,318.3,41.3,336.1,vid_1000133387_f00037_det00_airplane_0.72.jpg
vid_1000133387_f00038,0,0,airplane,0.8075,0.0,292.4,30.3,310.8,vid_1000133387_f00038_det00_airplane_0.81.jpg
vid_1000133387_f00039,0,0,airplane,0.5763,0.9,280.2,23.9,296.3,vid_1000133387_f00039_det00_airplane_0.58.jpg
vid_1000133387_f00043,0,0,airplane,0.7772,0.3,223.2,31.9,241.2,vid_1000133387_f00043_det00_airplane_0.78.jpg
vid_1000133387_f00045,0,0,airplane,0.7086,651.1,232.6,689.6,247.6,vid_1000133387_f00045_det00_airplane_0.71.jpg
