source,det_index,label_id,class_name,score,x1,y1,x2,y2,crop_file
img_az000_el-10_dusk_operational_v00,0,0,airplane,0.8602,225.6,241.6,280.5,263.6,img_az000_el-10_dusk_operational_v00_det00_airplane_0.86.jpg
img_az000_el-10_morning_operational_v00,0,0,airplane,0.8895,229.1,245.7,279.0,264.4,img_az000_el-10_morning_operational_v00_det00_airplane_0.89.jpg
img_az000_el-10_noon_clear_operational_v00,0,0,airplane,0.7262,230.0,238.6,276.2,267.9,img_az000_el-10_noon_clear_operational_v00_det00_airplane_0.73.jpg
img_az000_el-10_noon_clear_operational_v00,1,2,bird,0.2514,230.5,238.5,276.0,267.7,img_az000_el-10_noon_clear_operational_v00_det01_bird_0.25.jpg
img_az000_el-35_dusk_operational_v00,0,0,airplane,0.9153,232.4,245.6,281.1,262.9,img_az000_el-35_dusk_operational_v00_det00_airplane_0.92.jpg
img_az000_el-35_morning_operational_v00,0,0,airplane,0.9172,229.4,246.2,280.8,266.0,img_az000_el-35_morning_operational_v00_det00_airplane_0.92.jpg
img_az000_el-35_noon_clear_operational_v00,0,0,airplane,0.8757,236.7,236.1,280.7,264.6,img_az000_el-35_noon_clear_operational_v00_det00_airplane_0.88.jpg
img_az000_el-60_dusk_operational_v00,0,0,airplane,0.796,235.7,236.9,286.6,271.6,img_az000_el-60_dusk_operational_v00_det00_airplane_0.80.jpg
img_az000_el-60_dusk_operational_v00,1,1,helicopter,0.3788,235.2,235.8,285.3,270.1,img_az000_el-60_dusk_operational_v00_det01_helicopter_0.38.jpg
img_az000_el-60_morning_operational_v00,0,0,airplane,0.9329,231.5,248.0,283.3,267.4,img_az000_el-60_morning_operational_v00_det00_airplane_0.93.jpg
img_az000_el-60_noon_clear_operational_v00,0,0,airplane,0.8928,225.8,236.2,286.1,269.6,img_az000_el-60_noon_clear_operational_v00_det00_airplane_0.89.jpg
img_az045_el-10_dusk_operational_v00,0,0,airplane,0.9008,240.5,248.5,280.1,268.4,img_az045_el-10_dusk_operational_v00_det00_airplane_0.90.jpg
img_az045_el-10_morning_operational_v00,0,1,helicopter,0.5017,234.2,243.0,270.6,267.3,img_az045_el-10_morning_operational_v00_det00_helicopter_0.50.jpg
img_az045_el-10_morning_operational_v00,1,0,airplane,0.4035,234.4,241.8,269.4,267.7,img_az045_el-10_morning_operational_v00_det01_airplane_0.40.jpg
img_az045_el-10_noon_clear_operational_v00,0,0,airplane,0.883,240.5,246.8,273.7,259.7,img_az045_el-10_noon_clear_operational_v00_det00_airplane_0.88.jpg
img_az045_el-35_dusk_operational_v00,0,1,helicopter,0.7388,234.9,239.2,266.3,277.3,img_az045_el-35_dusk_operational_v00_det00_helicopter_0.74.jpg
img_az045_el-35_dusk_operational_v00,1,2,bird,0.5357,234.6,238.9,266.0,277.1,img_az045_el-35_dusk_operational_v00_det01_bird_0.54.jpg
img_az045_el-35_dusk_operational_v00,2,0,airplane,0.2566,235.3,237.6,266.4,277.6,img_az045_el-35_dusk_operational_v00_det02_airplane_0.26.jpg
img_az045_el-35_morning_operational_v00,0,0,airplane,0.9145,234.6,245.5,273.8,267.2,img_az045_el-35_morning_operational_v00_det00_airplane_0.91.jpg
img_az045_el-35_noon_clear_operational_v00,0,0,airplane,0.8516,238.0,238.7,276.0,266.1,img_az045_el-35_noon_clear_operational_v00_det00_airplane_0.85.jpg
img_az045_el-60_dusk_operational_v00,0,1,helicopter,0.5412,231.7,238.4,279.5,269.9,img_az045_el-60_dusk_operational_v00_det00_helicopter_0.54.jpg
img_az045_el-60_dusk_operational_v00,1,2,bird,0.36,231.9,237.4,277.8,269.8,img_az045_el-60_dusk_operational_v00_det01_bird_0.36.jpg
img_az045_el-60_dusk_operational_v00,2,0,airplane,0.2836,231.7,237.3,277.6,269.8,img_az045_el-60_dusk_operational_v00_det02_airplane_0.28.jpg
img_az045_el-60_morning_operational_v00,0,1,helicopter,0.5207,230.4,226.5,264.0,289.0,img_az045_el-60_morning_operational_v00_det00_helicopter_0.52.jpg
img_az045_el-60_morning_operational_v00,1,0,airplane,0.4022,229.3,223.2,263.0,291.4,img_az045_el-60_morning_operational_v00_det01_airplane_0.40.jpg
img_az045_el-60_noon_clear_operational_v00,0,0,airplane,0.8298,229.5,241.1,280.5,276.6,img_az045_el-60_noon_clear_operational_v00_det00_airplane_0.83.jpg
img_az090_el-10_dusk_operational_v00,0,0,airplane,0.7748,244.5,251.5,263.9,261.6,img_az090_el-10_dusk_operational_v00_det00_airplane_0.77.jpg
img_az090_el-10_dusk_operational_v00,1,2,bird,0.6813,244.5,251.7,264.1,261.8,img_az090_el-10_dusk_operational_v00_det01_bird_0.68.jpg
img_az090_el-10_morning_operational_v00,0,2,bird,0.783,253.2,247.8,264.6,265.1,img_az090_el-10_morning_operational_v00_det00_bird_0.78.jpg
